entity_id,tu_trip_id,tu_route_id,tu_direction_id,tu_start_time,arrival_delay,stop_id,stop_sequence,schedule_relationship,route_type
154,11312_3705,57,1,,0,807,10,0,autobus
155,11312_6620,76,1,,124,3077,24,0,autobus
156,11312_5374,69A,1,,-90,1062,40,0,autobus
157,11312_6347,75A,1,,-25,3058,29,0,autobus
157,11312_6347,75A,1,,-25,3058,29,0,autobus
158,11312_1271,16,1,,253,878,26,0,tramwaj
159,11312_1348,17,1,,136,997,22,0,tramwaj
159,11312_1348,17,1,,136,997,22,0,tramwaj
160,11312_1604,18,0,,43,1457,27,0,tramwaj
161,11312_4143,6,0,,9,2777,13,0,tramwaj
161,11312_4143,6,0,,9,2777,13,0,tramwaj
162,11312_40,1,0,,3539,378,3,0,tramwaj
163,11312_1836,2,1,,456,2778,22,0,tramwaj
164,11312_2146,3,0,,4831,1079,5,0,tramwaj
165,11312_2859,5,1,,937,585,8,0,tramwaj
166,11312_1407,17,0,,-43,1003,24,0,tramwaj
167,11312_8758,9,1,,113,2800,22,0,tramwaj
168,11312_8813,9,0,,17,769,21,0,tramwaj
169,11312_1080,15,0,,75,1007,28,0,tramwaj
170,11312_7106,8,0,,259,943,26,0,tramwaj
171,11312_7209,8,0,,3,583,7,0,tramwaj
172,11312_1900,2,1,,5663,147,30,0,tramwaj
173,11312_1568,18,1,,15,1460,4,0,tramwaj
174,11312_6961,8,1,,400,508,21,0,tramwaj
175,11312_2631,45,0,,143,1505,17,0,tramwaj
176,11312_7161,8,1,,25,509,15,0,tramwaj
176,11312_7161,8,1,,25,509,15,0,tramwaj
177,11312_2229,4,1,,-2,156,35,0,tramwaj
178,11312_1030,15,1,,373,286,18,0,tramwaj
178,11312_1030,15,1,,373,286,18,0,tramwaj
179,11312_8786,9,1,,257,938,8,0,tramwaj
179,11312_8786,9,1,,257,938,8,0,tramwaj
180,11312_1234,16,0,,-55,182,3,0,tramwaj
181,11312_1047,15,1,,15,1026,9,0,tramwaj
181,11312_1047,15,1,,15,1026,9,0,tramwaj
182,11312_416,10B,1,,413,1457,33,0,tramwaj
183,11312_757,12,0,,615,1316,28,0,tramwaj
184,11312_453,10B,0,,260,943,21,0,tramwaj
185,11312_797,12,0,,-71,543,11,0,tramwaj
186,11312_186,10A,0,,129,1461,5,0,tramwaj
187,11312_280,10B,0,,39,543,11,0,tramwaj
188,11312_167,10A,1,,72,1470,24,0,tramwaj
188,11312_167,10A,1,,72,1470,24,0,tramwaj
188,11312_167,10A,1,,72,1470,24,0,tramwaj
189,11312_704,12,1,,119,769,12,0,tramwaj
190,11312_181,10A,1,,-33,957,13,0,tramwaj
191,11312_384,10B,1,,-90,944,13,0,tramwaj
192,11312_250,10A,0,,20992,496,17,0,tramwaj
193,11312_257,10A,1,,2,234,22,0,tramwaj
194,11312_368,10B,1,,196,523,23,0,tramwaj
195,11312_7087,8,0,,415,1100,30,0,tramwaj
196,11312_7142,8,0,,-38,543,16,0,tramwaj
197,11312_2705,5,1,,12,12,5,0,tramwaj
198,11312_1550,18,1,,75,394,15,0,tramwaj
199,11312_2649,45,1,,505,1312,2,0,tramwaj
200,11312_1817,2,1,,1239,963,26,0,tramwaj
201,11312_8841,9,0,,19,2781,10,0,tramwaj
202,11312_1063,15,0,,456,1322,37,0,tramwaj
203,11312_1214,16,0,,-87,1412,15,0,tramwaj
204,11312_6999,8,1,,-54,498,14,0,tramwaj
205,11312_1919,2,0,,1170,181,8,0,tramwaj
205,11312_1919,2,0,,1168,181,8,0,tramwaj
206,11312_2067,3,1,,3066,965,22,0,tramwaj
207,11312_5671,7,1,,372,1093,28,0,tramwaj
208,11312_2612,45,1,,1,1531,14,0,tramwaj
209,11312_932,14,1,,-28,65,4,0,tramwaj
210,11312_905,14,1,,9,1303,14,0,tramwaj
210,11312_905,14,1,,9,1303,14,0,tramwaj
211,11312_957,14,0,,1,364,18,0,tramwaj
212,11312_777,12,0,,55,770,23,0,tramwaj
213,11312_738,12,1,,-1,1323,2,0,tramwaj
214,11312_984,14,0,,-45,1295,7,0,tramwaj
215,11312_7123,8,0,,58,496,22,0,tramwaj
216,11312_7176,8,0,,140,1423,12,0,tramwaj
217,11312_2165,4,0,,80,970,24,0,tramwaj
218,11312_7246,8,1,,224,7,34,0,tramwaj
219,11312_2592,45,1,,1804,1314,33,0,tramwaj
220,11312_108,1,1,,-98,422,18,0,tramwaj
221,11312_7069,8,0,,1322,2780,27,0,tramwaj
222,11312_2750,5,0,,837,1502,25,0,tramwaj
223,11312_2359,41,1,,65,182,3,0,tramwaj
224,11312_6980,8,1,,254,392,17,0,tramwaj
225,11312_1368,17,1,,-74,818,12,0,tramwaj
226,11312_1872,2,1,,-16,5,3,0,tramwaj
227,11312_2785,5,0,,-16,378,7,0,tramwaj
228,11312_1936,2,1,,3436,964,27,0,tramwaj
229,11312_2481,43,1,,1172,867,2,0,tramwaj
230,11312_628,11,0,,-45,873,9,0,tramwaj
231,11312_1657,19,0,,3,1168,2,0,tramwaj
232,11312_2279,4,1,,-138,1536,15,0,tramwaj
233,11312_1668,19,1,,473,541,21,0,tramwaj
234,11312_1493,18,0,,-3,237,3,0,tramwaj
235,11312_2247,4,1,,15,3005,24,0,tramwaj
236,11312_2197,4,0,,49,480,12,0,tramwaj
236,11312_2197,4,0,,47,480,12,0,tramwaj
237,11312_685,12,1,,347,507,21,0,tramwaj
238,11312_643,11,1,,918,2778,22,0,tramwaj
239,11312_1644,19,0,,77,890,11,0,tramwaj
240,11312_655,11,1,,110,1480,19,0,tramwaj
241,11312_1662,19,1,,597,879,30,0,tramwaj
242,11312_614,11,1,,4667,541,21,0,tramwaj
243,11312_1674,19,1,,77,201,13,0,tramwaj
244,11312_1638,19,0,,145,1039,22,0,tramwaj
245,11312_5650,7,1,,3072,544,10,0,tramwaj
246,11312_5713,7,0,,134,381,16,0,tramwaj
247,11312_5610,7,1,,4776,383,17,0,tramwaj
248,11312_5693,7,1,,329,963,13,0,tramwaj
249,11312_5588,7,1,,5145,1091,26,0,tramwaj
250,11312_1311,16,1,,33,8,5,0,tramwaj
251,11312_1194,16,0,,-107,30,26,0,tramwaj
252,11312_6942,8,1,,-15,25,31,0,tramwaj
253,11312_1001,15,1,,314,902,30,0,tramwaj
254,11312_69,1,1,,2949,376,23,0,tramwaj
255,11312_4095,6,0,,87,1168,2,0,tramwaj
256,11312_1128,15,0,,-1,911,5,0,tramwaj
256,11312_1128,15,0,,-1,911,5,0,tramwaj
256,11312_1128,15,0,,-1,911,5,0,tramwaj
257,11312_2382,41,0,,-14,887,30,0,tramwaj
258,11312_2525,43,1,,320,2092,17,0,tramwaj
259,11312_1784,2,1,,4181,1479,16,0,tramwaj
260,11312_2767,5,0,,494,391,14,0,tramwaj
260,11312_2767,5,0,,494,391,14,0,tramwaj
261,11312_666,11,1,,-37,1526,6,0,tramwaj
262,11312_1439,17,0,,-98,2758,14,0,tramwaj
263,11312_2405,41,0,,45,1888,16,0,tramwaj
264,11312_2337,41,1,,12,1889,18,0,tramwaj
265,11312_1623,18,0,,15,392,15,0,tramwaj
266,11312_2829,5,1,,1514,1536,14,0,tramwaj
267,11312_4132,6,0,,218,266,22,0,tramwaj
