entity_id,trip_id,route_id,vehicle_id,latitude,longitude,current_stop_id,current_stop_name,current_stop_sequence,current_status,route_type,timestamp,current_stop_lat,current_stop_lon
89,11312_3501,55A,2102,51.748069763183594,19.48967933654785,1303,Śmigłego Rydza-Przybyszewskiego,34,1,autobus,1764788362,51.74821,19.48958
90,11312_3760,57,2103,51.76715850830078,19.46129035949707,3277,Sienkiewicza-Traugutta,15,2,autobus,1764788364,51.76884,19.46101
91,11312_3563,55A,2112,51.74979019165039,19.40838050842285,1117,Kusocińskiego-Babickiego,37,2,autobus,1764788360,51.75215,19.39934
92,11312_3799,57,2114,51.76219940185547,19.462289810180664,3092,Sienkiewicza-Roosevelta,18,0,autobus,1764788362,51.76131,19.46249
93,11312_6357,75A,2116,51.762210845947266,19.54235076904297,510,Służbowa-Dw. Łódź Widzew,2,0,autobus,1764788362,51.76195,19.5433
94,11312_3804,57,2117,51.74394989013672,19.430599212646484,810,Nowe Sady-ROD Olimpijka NŻ,3,2,autobus,1764788204,51.74324,19.42654
95,11312_6079,72A,2118,51.73353958129883,19.504789352416992,255,Gojawiczyńskiej-Dąbrowskiego,38,2,autobus,1764788362,51.73478,19.50498
96,11312_5259,68,2119,51.699798583984375,19.43321990966797,3504,Farna-Plażowa NŻ,23,2,autobus,1764788362,51.69972,19.43826
97,11312_6367,75A,2122,51.76346969604492,19.510509490966797,941,Piłsudskiego-Widzew Stadion,44,2,autobus,1764788354,51.76372,19.51738
98,11312_7638,82A,2124,51.76036071777344,19.536609649658203,1134,Rokicińska-Rondo Inwalidów,3,2,autobus,1764788362,51.76012,19.53863
99,11312_4662,62,2125,51.71371841430664,19.486949920654297,515,Rzgowska-św. Wojciecha,20,0,autobus,1764788358,51.71406,19.48682
100,11312_9675,97A,2126,51.78937911987305,19.363079071044922,2439,Słowiańska-Szczecińska (Anton.),21,2,autobus,1764788360,51.79,19.35346
101,11312_3829,57,2129,51.74639892578125,19.429330825805664,813,Nowe Sady-zajezdnia MPK NŻ,19,2,autobus,1764788364,51.74632,19.43062
102,11312_3452,55A,2176,51.75177001953125,19.485729217529297,1048,Tymienieckiego-Przędzalniana,14,2,autobus,1764788362,51.75413,19.48284
103,11312_6040,72A,2180,51.74440002441406,19.457399368286133,990,Wólczańska-Czerwona,33,2,autobus,1764788360,51.74608,19.457
104,11312_6570,76,2183,51.75490188598633,19.41259002685547,564,Krzemieniecka-Retkińska,11,2,autobus,1764788358,51.75815,19.41418
105,11312_6067,72A,2326,51.74940872192383,19.573219299316406,1485,Janów,53,2,autobus,1764788358,51.75211,19.57442
106,11312_6049,72A,2330,51.74156188964844,19.56290054321289,1496,Zakładowa-Odnowiciela,6,0,autobus,1764788356,51.74187,19.5616
107,11312_6465,75B,2331,51.74808120727539,19.493289947509766,1301,Tatrzańska-Brzechwy NŻ,16,0,autobus,1764788364,51.74695,19.49362
108,11312_3781,57,2333,51.79001998901367,19.486339569091797,1277,Palki-Smutna,7,2,autobus,1764788362,51.7873,19.48388
109,11312_6544,76,2335,51.80575942993164,19.389699935913086,348,Kaczeńcowa-św. Teresy NŻ,25,2,autobus,1764788360,51.80859,19.39133
110,11312_6515,75B,2337,51.70322036743164,19.438129425048828,1157,Rudzka-Przestrzenna,44,0,autobus,1764788362,51.70351,19.43684
111,11312_5354,69A,2339,51.75226974487305,19.524839401245117,1074,Przybyszewskiego-Lodowa,6,2,autobus,1764788354,51.75186,19.52147
112,11312_10924,Z13,2343,51.769710540771484,19.446449279785156,1542,Zielona-pl. Barlickiego,22,1,autobus,1764788358,51.76976,19.44642
113,11312_3113,52,2344,51.72808837890625,19.468530654907227,907,Paderewskiego-Tuszyńska,12,2,autobus,1764788362,51.72886,19.47079
114,11312_10943,Z13,2348,51.76103973388672,19.485599517822266,1298,Kopcińskiego-Piłsudskiego,10,2,autobus,1764788358,51.76255,19.48479
115,11312_5394,69A,2349,51.74623107910156,19.43242073059082,3224,Nowe Sady-Elektronowa NŻ,13,2,autobus,1764788360,51.7413,19.4342
116,11312_10614,W,2350,51.730960845947266,19.512310028076172,1385,Ossendowskiego-Lodowa NŻ,4,0,autobus,1764788354,51.73074,19.51222
117,11312_6761,77,2362,51.726768493652344,19.439380645751953,3034,Leszczowa-Dw. Łódź Pabianicka NŻ,19,2,autobus,1764788356,51.72638,19.44466
118,11312_6091,72A,2391,51.744869232177734,19.4510498046875,1564,Wróblewskiego-Politechniki (kampus PŁ),25,2,autobus,1764788348,51.74435,19.45253
119,11312_6005,71B,2402,51.739219665527344,19.49527931213379,3026,park Podolski,29,2,autobus,1764788364,51.74074,19.49916
120,11312_9058,92A,2403,51.74248123168945,19.47756004333496,3522,Zarzewska-Kilińskiego,28,2,autobus,1764788362,51.7434,19.47539
121,11312_9196,93,2406,51.75539016723633,19.4354190826416,2776,Włókniarzy-Mickiewicza (Dw. Ł. Kaliska),17,2,autobus,1764788356,51.75684,19.43456
122,11312_9093,92A,2407,51.70566940307617,19.607559204101562,446,Kolumny-Czajewskiego NŻ,30,2,autobus,1764788356,51.70421,19.61155
